HBA;HBD;Molar ratio;Temperature (C);Pressure (bar);log 10 x_sol H2S;log 10 x_sol CO2;log 10 x_sol CH4;solubility H2S;solubility CO2;solubility CH4;Selectivity of H2S/ CH4;Selectivity of CO2/ CH4;Performance Index
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;323.15;2;-0.4939925;-1.63516695;-2.57901057;0.32063247;0.02316504;0.002636267;972.9892835;70.29648455;68397.72614
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;333.15;2;-0.57622661;-1.71934642;-2.61063598;0.265322078;0.019083304;0.002451117;865.9630412;62.28443755;53936.02096
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;303.15;3;-0.21535786;-1.27846856;-2.33301278;0.609034844;0.052666134;0.004645016;1048.926136;90.70562225;95143.4979
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;313.15;3;-0.28700003;-1.37307421;-2.36923333;0.516416334;0.042357058;0.004273332;966.7702709;79.29560317;76660.63177
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;323.15;3;-0.36062743;-1.46180826;-2.40303629;0.435885648;0.034529615;0.003953336;882.0614603;69.87438798;61633.5047
methyltriphenylphosphonium bromide;Levulinic acid; 1& 1;333.15;3;-0.43501728;-1.54544199;-2.43465291;0.367267687;0.028481182;0.00367576;799.3290871;61.98704122;49548.04507
methyltriphenylphosphonium bromide;Levulinic acid;1&2;303.15;1;-0.61400631;-1.80267119;-2.85017053;0.243216867;0.01575175;0.001411983;1378.015831;89.24611648;122982.5614
methyltriphenylphosphonium bromide;Levulinic acid;1&2;313.15;1;-0.7104356;-1.89828948;-2.8855639;0.194788987;0.012638936;0.001301476;1197.342193;77.68987219;93021.36198
methyltriphenylphosphonium bromide;Levulinic acid;1&2;323.15;1;-0.80442598;-1.98748341;-2.91857832;0.156882326;0.010292398;0.001206207;1040.500581;68.26292556;71027.61369
methyltriphenylphosphonium bromide;Levulinic acid;1&2;333.15;1;-0.89498628;-2.07119111;-2.94943871;0.127354331;0.008488069;0.00112347;906.8645326;60.44182749;54812.54964
methyltriphenylphosphonium bromide;Levulinic acid;1&2;303.15;2;-0.39056663;-1.50560416;-2.54921975;0.40684911;0.031217336;0.002823451;1152.771171;88.45157632;101964.4272
methyltriphenylphosphonium bromide;Levulinic acid;1&2;313.15;2;-0.4714051;-1.60034371;-2.58460776;0.337749644;0.025098993;0.002602509;1038.227784;77.1532166;80102.61313
